Respondent	Age	Regularly Consume Crispy Spuds?	Crispiness	Saltiness	Sweetness	Flavor	Texture	Value	Overall
139	52	No	6	4	9	2	7	1	6
140	75	Yes	8	9	6	8	7	7	8
141	66	Yes	2	4	7	7	8	10	5
142	62	Yes	6	9	4	5	5	7	7
143	18	No	10	2	6	8	9	9	5
144	25	No	6	10	9	9	6	3	6
145	77	No	4	10	4	10	10	8	9
146	28	No	10	8	6	4	10	10	9
147	24	Yes	10	10	8	10	10	4	7
148	54	Yes	10	10	10	9	4	10	9
149	35	No	9	7	9	8	8	6	8
150	66	Yes	10	10	8	9	4	5	6
151	45	No	7	10	7	7	2	6	5
152	32	Yes	8	10	9	10	9	10	9
153	77	No	9	8	8	8	9	9	8
154	34	Yes	7	10	3	10	10	5	6
155	60	No	10	1	7	3	6	4	3
156	30	No	3	7	7	9	7	5	5
157	48	No	7	9	7	6	1	10	6
158	69	No	10	4	10	6	10	10	7
159	56	Yes	9	9	7	5	9	8	9
160	38	Yes	7	5	10	2	4	7	6
161	77	No	5	9	10	9	8	10	10
162	48	Yes	10	7	10	1	10	2	5
163	59	Yes	4	8	9	8	10	4	9
164	18	No	9	4	9	5	9	7	8
165	43	No	7	8	3	4	10	2	6
166	74	Yes	5	9	1	9	4	2	5
167	40	Yes	10	7	6	10	3	7	7
168	40	No	10	10	8	9	2	7	9
169	33	No	2	5	10	7	9	10	8
170	57	Yes	4	5	8	7	7	8	6
171	67	No	3	8	9	4	8	9	4
172	45	No	10	8	8	6	4	9	8
173	58	No	7	9	10	10	9	6	6
174	29	No	9	10	5	10	10	10	9
175	59	No	10	9	10	7	2	4	9
176	63	Yes	10	10	10	10	7	6	7
177	41	Yes	8	10	7	5	9	10	7
178	69	No	10	10	10	2	9	3	8
179	50	No	9	9	3	9	6	5	4
180	71	Yes	7	9	10	7	1	8	5
181	39	Yes	6	5	10	10	2	5	8
182	59	No	8	2	10	4	10	2	6
183	46	Yes	8	10	2	10	7	10	9
184	76	No	2	9	5	1	10	6	6
185	35	Yes	8	8	4	10	5	9	7
186	68	No	9	2	10	1	8	10	8
187	30	No	9	9	6	6	3	7	8
188	51	No	7	10	10	6	8	10	9
189	52	No	1	2	8	10	4	9	7
190	51	No	8	9	9	2	4	10	8
191	39	No	9	6	8	10	10	5	8
192	58	No	10	7	10	9	10	6	10
193	69	Yes	4	5	7	10	8	9	6
194	33	Yes	7	6	10	9	7	2	5
195	73	No	6	8	5	10	9	10	7
196	34	Yes	1	9	10	8	9	10	8
197	75	Yes	10	10	10	10	7	9	10
198	43	No	10	4	8	9	6	3	7
199	42	Yes	8	5	1	10	10	9	7
200	58	No	4	8	4	9	9	2	4
201	54	No	9	1	9	9	2	10	8
202	73	No	8	1	10	4	4	6	5
203	35	No	10	10	2	9	9	3	6
204	52	No	3	9	10	10	7	10	7
205	61	Yes	3	9	2	4	5	3	2
206	60	Yes	8	9	4	10	2	10	7
207	36	Yes	2	4	7	9	5	6	6
208	37	Yes	10	10	9	10	10	9	10
209	35	No	10	10	10	7	7	5	7
210	26	Yes	7	6	6	8	9	8	8
211	32	No	10	10	6	10	9	2	9
212	68	Yes	9	10	9	6	10	10	9
213	63	No	6	10	10	7	10	9	9
214	63	Yes	10	10	4	5	4	7	7
215	59	No	9	10	10	8	10	10	9
216	69	No	5	1	10	10	4	8	7
217	70	Yes	10	10	10	9	3	4	8
218	62	No	9	10	2	4	10	4	6
219	48	No	4	10	9	9	1	10	6
220	39	No	8	1	10	3	10	9	7
221	34	No	9	7	9	6	6	5	7
222	43	Yes	7	6	7	10	7	10	9
223	42	Yes	10	6	9	9	3	7	8
224	21	Yes	10	3	5	10	2	6	5
225	54	No	10	3	9	10	6	10	9
226	47		9	10	3	9	5	8	8
227	23	Yes	6	3	8	7	9	5	6
228	50	No	1	9	10	9	6	7	6
229	66	Yes	2	7	8	8	10	2	5
230	19	Yes	9	7	6	4	9	10	7
231	76	Yes	8	10	4	9	10	1	7
