Respondent	Age	Regularly Consume Crispy Spuds?	Crispiness	Saltiness	Sweetness	Flavor	Texture	Value	Overall
94	32	No	9	10	7	10	1	4	6
95	59	Yes	10	4	10	9	4	9	9
96	72	No	9	8	9	9	8	3	8
97	54	No	5	3	9	7	10	7	7
98	22	Yes	9	6	10	3	9	10	8
99	47	Yes	10	9	10	5	9	8	7
100	75	No	4	6	3	3	3	10	4
101	28	No	9	10	8	5	9	6	10
102	42	Yes	10	10	8	8	8	10	9
103	71	Yes	8	10	3	8	2	9	6
104	39	Yes	3	9	9	10	9	6	10
105	36	Yes	9	9	10	10	8	8	8
106	43	Yes	4	6	10	2	4	6	7
107	41	No	8	5	8	4	1	9	4
108	48	No	6	8	10	9	7	7	7
109	71	Yes	4	4	6	10	8	10	7
110	53	No	9	10	10	10	1	3	5
111	73	Yes	10	10	5	10	4	7	7
112	41	No	4	9	4	1	9	9	6
113	21	No	9	3	7	4	10	8	6
114	32	Yes	8	10	4	9	8	4	7
115	26	No	5	10	9	8	8	10	6
116	41	Yes	10	10	10	7	9	10	10
117	73	Yes	9	7	7	9	4	10	8
118	68	No	7	10	10	10	6	9	9
119	41	No	9	10	8	6	3	7	7
120	20	No	9	10	8	10	5	10	9
121	41	No	9	6	9	5	5	6	7
122	21	No	1	7	10	8	3	4	7
123	71	No	9	7	10	10	1	9	8
123	71	No	9	7	10	10	1	9	8
124	36	No	7	2	10	8	10	4	7
125	64	Yes	10	6	10	5	3	5	6
126	39	Yes	10	9	7	9	2	5	6
127	62	Yes	9	10	10	8	4	6	9
128	47	No	3	6	5	9	10	4	4
129	60	No	7	4	3	8	6	7	6
130	74	No	7	10	8	3	5	10	7
131	78	Yes	8	10	4	5	2	6	6
132	67	No	9	2	5	9	8	10	7
133	58	Yes	5	10	4	8	9	8	7
134	32	Yes	10	3	10	4	5	10	9
135	57	No	1	4	9	3	3	7	5
136	37	Yes	9	9	10	10	10	5	9
137	25	No	5	8	10	2	9	5	6
138	73	No	10	9	10	6	6	7	6
139	36	No	9	10	1	7	7	8	6
140	62	No	9	10	9	2	3	9	7
141	61	No	10	10	8	10	9	6	9
142	33	Yes	5	6	5	7	10	8	5
143	46	Yes	10	9	6	4	5	9	9
144	76	No	7	10	10	9	8	5	8
145	45	Yes	9	9	6	7	10	10	9
146	70	No	9	9	10	10	10	10	9
147	49	No	8	6	9	7	10	4	6
148	50	Yes	10	9	3	4	10	8	6
149	67	No	8	10	1	10	8	4	8
150	60	No	10	9	10	8	7	4	10
151	29	No	8	6	3	8	5	7	6
152	40	Yes	10	10	10	5	4	7	7
153	62	No	8	10	2	5	6	10	8
154	74	No	9	7	10	10	7	9	9
155	58	No	5	8	9	3	10	5	4
156	61	No	2	9	1	9	6	3	6
157	33	Yes	9	10	8	6	9	7	8
158	62	Yes	9	9	10	10	9	5	6
159	58	Yes	8	8	5	6	10	6	6
160	57	Yes	2	10	1	3	5	8	3
161	55	No	8	7	7	3	6	8	5
162	31	No	8	7	3	9	9	2	8
163	51	No	9	9	6	5	1	3	7
164	35	No	9	9	8	7	10	9	10
165	33	No	10	6	8	9	6	6	7
166	59	Yes	10	4	10	3	4	9	5
167	30	Yes	9	2	6	2	7	9	6
168	73	No	2	9	7	8	7	7	6
169	22	No	2	5	6	3	4	5	6
170	42	No	4	9	9	7	4	2	6
171	63	No	5	10	3	8	2	10	6
171	63	No	5	10	3	8	2	10	6
172	47	No	10	4	9	10	5	10	10
173	21	No	2	1	7	5	9	10	6
174	25	Yes	5	6	9	4	10	4	5
175	72	Yes	3	6	8	8	10	4	7
176	27	No	4	4	9	9	8	2	8
177	51	Yes	5	7	7	10	2	2	4
178	25	No	9	5	10	9	8	8	7
179	29	No	2	8	1	7	6	10	3
180	65	Yes	8	10	9	5	5	10	8
181	61	No	7	10	10	2	10	9	7
182	26	No	7	5	1	3	10	10	7
183	39	No	9	10	3	9	5	7	7
184	75	No	10	5	3	3	7	1	5
185	35	Yes	5	10	7	8	10	4	8
186	68	No	7	8	2	3	8	10	8
187	43	Yes	3	5	4	8	4	9	5
188	68	No	9	8	7	10	3	7	7
189	58	No	8	8	8	8	7	8	8
190	69	Yes	3	8	7	10	10	5	6
191	34	No	9	6	8	1	7	10	6
192	55	No	9	9	6	7	7	4	8
193	24	Yes	6	9	10	10	4	8	7
194	72	No	6	1	1	10	7	5	6
195	40	No	4	9	8	10	9	10	
196	20	No	2	5	9	9	4	7	8
197	72	No	8	10	9	9	10	10	10
198	67	No	6	8	6	8	5	4	7
199	70	No	3	9	8	8	7	8	8
200	37	No	9	10	10	9	6	6	9
201	75	No	9	1	4	10	10	8	6
202	49	No	10	8	10	2	5	10	8
203	51	No	10	3	9	9	7	2	9
204	61	No	9	1	9	10	8	10	8
205	70	No	4	10	3	8	5	10	6
206	23	No	4	10	3	6	5	9	6
207	72	No	4	8	3	6	2	9	7
208	33	Yes	6	5	7	8	4	10	6
209	50	Yes	10	10	9	4	9	5	7
210	40	No	10	8	9	8	9	9	8
211	24	No	10	10	10	2	10	9	9
212	41	No	4	10	6	6	1	7	5
213	76	No	10	10	1	10	8	10	8
214	18	No	8	8	4	9	2	6	7
215	72	Yes	2	9	6	9	7	4	4
216	59	No	9	9	8	3	6	3	6
217	38	No	10	8	8	5	3	10	8
218	74	Yes	7	10	10	10	2	3	7
219	37	No	9	10	10	3	5	10	8
220	70	No	6	5	3	1	7	9	4
